Stint Type,Island,Species,FirstName,LastName,Observer_Location,Date_Time_Start,Date_Time_End,Nest,Time_Arrive,Time_Depart,Provider,Recipient,Prey_Item_Code,Prey_Size_bill_lengths,Number_of_Items,Plot_Status
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/22/00 8:25,6/22/00 11:30,1,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/22/00 8:25,6/22/00 11:30,1,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/22/00 8:25,6/22/00 11:30,1,,,UA,,R,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/22/00 8:25,6/22/00 11:30,1,,,UA,,S,2,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/22/00 8:25,6/22/00 11:30,1,,,UA,,U,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/22/00 8:25,6/22/00 11:30,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/23/00 9:00,6/23/00 12:00,1,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/23/00 9:00,6/23/00 12:00,1,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/23/00 9:00,6/23/00 12:00,1,,,UA,,H,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/23/00 9:00,6/23/00 12:00,3,,,UA,,H,1,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/24/00 10:05,6/24/00 13:05,1,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/24/00 10:05,6/24/00 13:05,1,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/24/00 10:05,6/24/00 13:05,1,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/24/00 10:05,6/24/00 13:05,1,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/24/00 10:05,6/24/00 13:05,1,,,UA,,M,0.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/24/00 10:05,6/24/00 13:05,3,,,UA,,S,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/24/00 10:05,6/24/00 13:05,3,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/24/00 10:05,6/24/00 13:05,4,,,UA,,R,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/24/00 10:05,6/24/00 13:05,4,,,UA,,R,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,South Cove Blind,6/24/00 10:05,6/24/00 13:05,4,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/25/00 13:30,6/25/00 16:30,9,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/25/00 13:30,6/25/00 16:30,9,,,UA,,A,0.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/25/00 13:30,6/25/00 16:30,9,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/25/00 13:30,6/25/00 16:30,9,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/25/00 13:30,6/25/00 16:30,25,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/25/00 13:30,6/25/00 16:30,25,,,UA,,R,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/25/00 13:30,6/25/00 16:30,24,,,UA,,R,1.75,1,Outside Plot
Chick Provisioning,METIN,ARTE,Peter ,Warzybok,North End Blind,6/25/00 13:30,6/25/00 16:30,8,,,UA,,H,1.5,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/25/00 13:30,6/25/00 16:30,1,,,UA,,I,U,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/25/00 13:30,6/25/00 16:30,1,,,UA,,I,U,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/25/00 13:30,6/25/00 16:30,1,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/25/00 13:30,6/25/00 16:30,1,,,UA,,H,1.25,1,Outside Plot
Chick Provisioning,METIN,ARTE,Brett ,Irving,South Cove Blind,6/25/00 13:30,6/25/00 16:30,1,,,UA,,R,2.5,1,Outside Plot
